sequence,label
"[2, 26, 10, 28, 26, 27, 26, 26, 18, 19, 26, 12, 25, 16, 10, 2, 5, 5, 26, 16, 26, 2, 2, 26, 27, 18, 28, 18, 18, 26, 26, 10, 26, 20, 11, 27, 10, 18, 11, 5, 21, 27, 25, 26, 20, 10, 18, 10, 5, 10, 25, 26, 26, 21, 18, 12, 5, 27, 26, 2, 26, 2, 18, 10, 18, 18, 2, 28, 11, 21, 18, 10, 10, 2, 12, 2, 11, 5, 10, 10, 23, 25, 10, 29, 29, 2, 5, 10, 18, 2, 26, 28, 10, 18, 10, 18, 2, 18, 10, 2, 27, 2, 26, 5, 2, 10, 19, 12, 13, 18, 29, 10, 20, 2, 26, 18, 26, 20, 5, 18, 18, 20, 2, 13, 29, 18, 10, 18, 18, 26, 18, 18, 10, 12, 2, 27, 3, 18, 27, 10, 2, 27, 28, 27, 16, 26, 26, 10, 13, 2, 5, 28, 26, 4, 10, 2, 16, 26, 28, 27, 2, 26, 10, 25, 12, 26, 10, 18, 10, 26, 10, 5, 4, 5, 26, 18, 18, 26, 21, 10, 5, 2, 10, 18, 27, 26, 5, 18, 26, 16, 2, 2, 5, 10, 19, 2, 3, 20, 5, 4, 5, 18, 10, 18, 18, 10, 18, 18, 10, 19, 2, 10, 3, 12, 18, 10, 10, 20, 10, 26]",1
"[18, 10, 18, 2, 18, 10, 2, 27, 2, 26, 5, 2, 10, 19, 12, 13, 18, 29, 10, 20, 2, 26, 18, 26, 20, 5, 18, 18, 20, 2, 13, 29, 18, 10, 18, 18, 26, 18, 18, 10, 12, 2, 27, 3, 18, 27, 10, 2, 27, 28, 27, 16, 26, 26, 10, 13, 2, 5, 28, 26, 4, 10, 2, 16, 26, 28, 27, 2, 26, 10, 25, 12, 26, 10, 18, 10, 26, 10, 5, 4, 5, 26, 18, 18, 26, 21, 10, 5, 2, 10, 18, 27, 26, 5, 18, 26, 16, 2, 2, 5, 10, 19, 2, 3, 20, 5, 4, 5, 18, 10, 18, 18, 10, 18, 18, 10, 19, 2, 10, 3, 12, 18, 10, 10, 20, 10, 26, 18, 26, 12, 2, 10, 10, 2, 10, 10, 26, 12, 2, 5, 28, 25, 20, 21, 4, 10, 16, 25, 2, 10, 21, 4, 18, 28, 21, 10, 18, 18, 16, 18, 10, 29, 18, 21, 16, 27, 2, 12, 2, 5, 20, 10, 26, 26, 28, 21, 4, 26, 2, 2, 10, 10, 21, 26, 2, 10, 10, 13, 5, 13, 19, 26, 18, 26, 2, 27, 2, 18, 11, 2, 18, 10, 11, 10, 2, 18, 26, 19, 18, 2, 10, 18, 20, 27, 27, 27, 4, 26, 26, 26, 2, 19, 20]",1
"[18, 26, 12, 2, 10, 10, 2, 10, 10, 26, 12, 2, 5, 28, 25, 20, 21, 4, 10, 16, 25, 2, 10, 21, 4, 18, 28, 21, 10, 18, 18, 16, 18, 10, 29, 18, 21, 16, 27, 2, 12, 2, 5, 20, 10, 26, 26, 28, 21, 4, 26, 2, 2, 10, 10, 21, 26, 2, 10, 10, 13, 5, 13, 19, 26, 18, 26, 2, 27, 2, 18, 11, 2, 18, 10, 11, 10, 2, 18, 26, 19, 18, 2, 10, 18, 20, 27, 27, 27, 4, 26, 26, 26, 2, 19, 20, 2, 26, 2, 26, 27, 2, 10, 2, 29, 26, 10, 26, 10, 26, 11, 26, 11, 26, 26, 10, 27, 10, 4, 10, 10, 4, 11, 29, 10, 10, 10, 21, 16, 18, 29, 25, 26, 10, 28, 10, 2, 26, 26, 10, 27, 10, 12, 2, 21, 18, 2, 26, 2, 26, 2, 5, 18, 4, 10, 10, 10, 2, 2, 27, 2, 26, 18, 19, 12, 4, 26, 2, 2, 27, 29, 10, 27, 10, 2, 11, 12, 5, 27, 11, 2, 2, 29, 4, 29, 18, 2, 10, 5, 18, 29, 2, 11, 18, 20, 26, 20, 11, 11, 2, 26, 10, 18, 27, 5, 2, 25, 10, 18, 18, 10, 20, 26, 25, 26, 26, 10, 18, 12, 10, 18]",1
"[2, 26, 2, 26, 27, 2, 10, 2, 29, 26, 10, 26, 10, 26, 11, 26, 11, 26, 26, 10, 27, 10, 4, 10, 10, 4, 11, 29, 10, 10, 10, 21, 16, 18, 29, 25, 26, 10, 28, 10, 2, 26, 26, 10, 27, 10, 12, 2, 21, 18, 2, 26, 2, 26, 2, 5, 18, 4, 10, 10, 10, 2, 2, 27, 2, 26, 18, 19, 12, 4, 26, 2, 2, 27, 29, 10, 27, 10, 2, 11, 12, 5, 27, 11, 2, 2, 29, 4, 29, 18, 2, 10, 5, 18, 29, 2, 11, 18, 20, 26, 20, 11, 11, 2, 26, 10, 18, 27, 5, 2, 25, 10, 18, 18, 10, 20, 26, 25, 26, 26, 10, 18, 12, 10, 18, 26, 26, 2, 12, 2, 26, 5, 5, 18, 5, 5, 5, 18, 20, 18, 26, 26, 26, 2, 2, 5, 26, 26, 10, 26, 2, 2, 18, 26, 10, 2, 25, 16, 2, 12, 27, 29, 18, 18, 10, 27, 19, 4, 27, 2, 18, 19, 11, 18, 10, 10, 21, 4, 12, 4, 10, 3, 11, 10, 29, 18, 18, 10, 28, 26, 20, 19, 10, 16, 2, 26, 2, 26, 5, 10, 2, 27, 4, 2, 10, 10, 26, 18, 2, 2, 10, 26, 10, 10, 5, 23, 10, 10, 5, 26, 18, 12, 5]",1
"[26, 26, 2, 12, 2, 26, 5, 5, 18, 5, 5, 5, 18, 20, 18, 26, 26, 26, 2, 2, 5, 26, 26, 10, 26, 2, 2, 18, 26, 10, 2, 25, 16, 2, 12, 27, 29, 18, 18, 10, 27, 19, 4, 27, 2, 18, 19, 11, 18, 10, 10, 21, 4, 12, 4, 10, 3, 11, 10, 29, 18, 18, 10, 28, 26, 20, 19, 10, 16, 2, 26, 2, 26, 5, 10, 2, 27, 4, 2, 10, 10, 26, 18, 2, 2, 10, 26, 10, 10, 5, 23, 10, 10, 5, 26, 18, 12, 5, 18, 18, 5, 29, 2, 27, 27, 26, 18, 2, 21, 29, 28, 2, 10, 10, 5, 10, 10, 10, 18, 10, 5, 18, 27, 11, 2, 18, 2, 18, 18, 4, 19, 18, 26, 5, 21, 19, 27, 18, 11, 18, 18, 18, 26, 20, 12, 20, 10, 29, 2, 26, 21, 10, 21, 10, 26, 2, 10, 26, 12, 27, 25, 20, 2, 26, 10, 26, 10, 21, 10, 2, 26, 18, 5, 2, 26, 21, 29, 26, 10, 18, 4, 26, 16, 2, 10, 10, 26, 18, 2, 2, 27, 27, 10, 10, 5, 12, 18, 21, 2, 18, 12, 11, 5, 18, 5, 18, 21, 27, 18, 27, 27, 12, 10, 2, 2, 12, 18, 18, 10, 27, 2, 26, 26]",1
"[2, 18, 2, 18, 18, 4, 19, 18, 26, 5, 21, 19, 27, 18, 11, 18, 18, 18, 26, 20, 12, 20, 10, 29, 2, 26, 21, 10, 21, 10, 26, 2, 10, 26, 12, 27, 25, 20, 2, 26, 10, 26, 10, 21, 10, 2, 26, 18, 5, 2, 26, 21, 29, 26, 10, 18, 4, 26, 16, 2, 10, 10, 26, 18, 2, 2, 27, 27, 10, 10, 5, 12, 18, 21, 2, 18, 12, 11, 5, 18, 5, 18, 21, 27, 18, 27, 27, 12, 10, 2, 2, 12, 18, 18, 10, 27, 2, 26, 26, 21, 26, 12, 20, 18, 27, 12, 2, 10, 18, 26, 16, 2, 11, 27, 26, 28, 26, 2, 23, 19, 26, 18, 18, 2, 2, 10, 16, 26, 12, 16, 2, 26, 10, 10, 3, 28, 26, 18, 2, 2, 2, 2, 26, 10, 10, 2, 16, 26, 28, 18, 21, 18]",1
"[21, 26, 12, 20, 18, 27, 12, 2, 10, 18, 26, 16, 2, 11, 27, 26, 28, 26, 2, 23, 19, 26, 18, 18, 2, 2, 10, 16, 26, 12, 16, 2, 26, 10, 10, 3, 28, 26, 18, 2, 2, 2, 2, 26, 10, 10, 2, 16, 26, 28, 18, 21, 18]",1
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
[],0
"[1, 1, 1, 1, 1, 18, 26, 26, 19, 19, 1, 1, 1, 1, 1, 2, 26, 16, 28, 12, 2, 20, 23, 19, 26]",1
"[1, 1, 1, 1, 1, 18, 26, 26, 19, 19, 1, 1, 1, 1, 1, 2, 26, 16, 28, 12, 2, 20, 23, 19, 26, 1, 1, 1, 1, 1, 2, 18, 26, 3, 4, 16, 18, 10, 18, 10, 21, 26, 1, 1, 1, 1, 2, 1, 12, 10, 11, 26, 5, 12, 11, 10, 11, 10, 26, 2, 27, 1, 1, 1, 1, 1, 21, 26, 26, 26, 5, 5, 2, 16, 26, 2, 29, 4, 10, 16, 2, 2, 26, 19, 10]",1
"[1, 1, 1, 1, 1, 2, 18, 26, 3, 4, 16, 18, 10, 18, 10, 21, 26, 1, 1, 1, 1, 2, 1, 12, 10, 11, 26, 5, 12, 11, 10, 11, 10, 26, 2, 27, 1, 1, 1, 1, 1, 21, 26, 26, 26, 5, 5, 2, 16, 26, 2, 29, 4, 10, 16, 2, 2, 26, 19, 10, 1, 1, 1, 1, 1, 20, 19, 5, 5, 13, 10, 18, 2, 27, 18, 5, 12, 10, 2, 10, 10, 26, 21, 23, 1, 1, 1, 2, 1, 1, 26, 2, 2, 2, 16, 2, 18, 26, 25, 4, 10, 25, 26, 10, 10, 4, 18, 26, 27, 27, 18, 26, 1, 1, 1, 1, 10, 1, 2, 26, 26, 16, 11, 11, 27, 3, 11, 2, 10, 21, 27, 2, 2, 27, 20, 27, 2, 18, 10, 10, 2, 11, 4, 10, 1, 1, 1, 1, 10, 1, 2, 2, 18, 10, 27, 10, 20, 5, 10, 10, 18, 4, 5, 5, 12, 27, 18, 18, 10, 10, 29, 26, 2, 18, 2, 10, 25, 2, 11, 26]",1
"[1, 1, 1, 1, 1, 20, 19, 5, 5, 13, 10, 18, 2, 27, 18, 5, 12, 10, 2, 10, 10, 26, 21, 23, 1, 1, 1, 2, 1, 1, 26, 2, 2, 2, 16, 2, 18, 26, 25, 4, 10, 25, 26, 10, 10, 4, 18, 26, 27, 27, 18, 26, 1, 1, 1, 1, 10, 1, 2, 26, 26, 16, 11, 11, 27, 3, 11, 2, 10, 21, 27, 2, 2, 27, 20, 27, 2, 18, 10, 10, 2, 11, 4, 10, 1, 1, 1, 1, 10, 1, 2, 2, 18, 10, 27, 10, 20, 5, 10, 10, 18, 4, 5, 5, 12, 27, 18, 18, 10, 10, 29, 26, 2, 18, 2, 10, 25, 2, 11, 26, 1, 1, 1, 1, 1, 11, 20, 28, 26, 5, 28, 2, 11, 10, 2, 2, 18, 10, 5, 20, 26, 12, 2, 10, 16, 26, 29, 18, 26, 5, 21, 25, 21, 18, 18, 27, 10, 26, 10, 27, 2, 2, 18, 2, 18, 4, 20, 21, 2, 18, 2, 3, 10, 2, 2, 26, 18, 27, 26, 12, 27, 19, 20, 2, 10, 2, 11, 2, 10, 21, 4, 5, 18, 10, 26, 18, 10, 11, 16, 26, 27, 10, 26, 18, 18, 2, 18, 21, 12, 2, 27, 27, 2, 26, 4, 18, 10, 18, 26, 23, 20, 18, 21]",1
"[1, 1, 1, 1, 1, 11, 20, 28, 26, 5, 28, 2, 11, 10, 2, 2, 18, 10, 5, 20, 26, 12, 2, 10, 16, 26, 29, 18, 26, 5, 21, 25, 21, 18, 18, 27, 10, 26, 10, 27, 2, 2, 18, 2, 18, 4, 20, 21, 2, 18, 2, 3, 10, 2, 2, 26, 18, 27, 26, 12, 27, 19, 20, 2, 10, 2, 11, 2, 10, 21, 4, 5, 18, 10, 26, 18, 10, 11, 16, 26, 27, 10, 26, 18, 18, 2, 18, 21, 12, 2, 27, 27, 2, 26, 4, 18, 10, 18, 26, 23, 20, 18, 21, 11, 18, 21, 10, 10, 2, 2, 26, 20, 19, 28, 18, 2, 28, 2, 12, 12, 21, 10, 26, 26, 2, 26, 2, 18, 21, 27, 28, 18, 11, 19, 20, 5, 4, 10, 18, 10, 26, 20, 26, 10, 2, 27, 26, 10, 10, 2, 18, 10, 2, 2, 27, 21, 18, 26, 26, 2, 18, 11, 10, 5, 2, 27, 12, 13, 29, 26, 18, 19, 27, 19, 2, 10, 18, 2, 2, 18, 26, 10, 2, 28, 10, 12, 18, 26, 18, 26, 21, 28, 4, 21, 2, 28, 2, 27, 5, 23, 18, 10, 12, 11, 16, 5, 18, 2, 5, 2, 28, 2, 26, 12, 10, 26, 21, 29, 26, 21, 5, 2, 20, 18, 3, 19, 2, 18, 11, 26]",1
